2020-07-30 18:18:50,115  调试debug
2020-07-30 18:18:50,115  消息info
2020-07-30 18:18:50,115  警告warn
2020-07-30 18:18:50,115  错误error
2020-07-30 18:18:50,115  严重critical
2020-10-16 15:50:51,606  调试debug
2020-10-16 15:50:51,606  消息info
2020-10-16 15:50:51,606  警告warn
2020-10-16 15:50:51,606  错误error
2020-10-16 15:50:51,607  严重critical
2021-04-10 17:29:56,617  调试debug
2021-04-10 17:29:56,618  消息info
2021-04-10 17:29:56,618  警告warn
2021-04-10 17:29:56,618  错误error
2021-04-10 17:29:56,619  严重critical
2021-04-10 18:07:11,358  调试debug
2021-04-10 18:07:11,358  消息info
2021-04-10 18:07:11,368  警告warn
2021-04-10 18:07:11,369  错误error
2021-04-10 18:07:11,369  严重critical
2021-04-10 20:32:56,078  调试debug
2021-04-10 20:32:56,089  消息info
2021-04-10 20:32:56,089  警告warn
2021-04-10 20:32:56,090  错误error
2021-04-10 20:32:56,091  严重critical
2021-04-10 20:33:16,787  调试debug
2021-04-10 20:33:16,787  消息info
2021-04-10 20:33:16,788  警告warn
2021-04-10 20:33:16,788  错误error
2021-04-10 20:33:16,788  严重critical
2021-04-10 20:59:03,623  调试debug
2021-04-10 20:59:03,624  消息info
2021-04-10 20:59:03,624  警告warn
2021-04-10 20:59:03,624  错误error
2021-04-10 20:59:03,624  严重critical
2021-04-10 21:06:03,611  调试debug
2021-04-10 21:06:03,611  消息info
2021-04-10 21:06:03,612  警告warn
2021-04-10 21:06:03,612  错误error
2021-04-10 21:06:03,612  严重critical
2021-04-11 11:54:45,762 logger3.py 调试debug
2021-04-11 11:54:45,773 logger3.py 消息info
2021-04-11 11:54:45,774 logger3.py 警告warn
2021-04-11 11:54:45,774 logger3.py 错误error
2021-04-11 11:54:45,774 logger3.py 严重critical
2021-04-11 11:54:54,566 root 调试debug
2021-04-11 11:54:54,566 root 消息info
2021-04-11 11:54:54,566 root 警告warn
2021-04-11 11:54:54,566 root 错误error
2021-04-11 11:54:54,567 root 严重critical
